Ten phong ban,Ma nhan vien,Ho ten nhan vien,Ngay sinh,Gioi tinh,Luong co ban,Tuoi,Luong moi,Ghi chu,Chuc vu
Nhan su,NV09380,Trong Le,1986-09-24,Nu,18807044,38,21628101,Tăng lương 15%,Nhan vien
Ky thuat,NV09381,Duyen Tran,1976-09-26,Nu,22188856,48,25517184,Tăng lương 15%,Nhan vien
Nhan su,NV09382,Chi Xuan Vu,1996-10-24,Nu,15622218,28,15622218,Không tăng lương,Nhan vien
Ky thuat,NV09383,Anh The Pham,1972-12-28,Nu,11330768,52,13030383,Tăng lương 15%,Nhan vien
Kinh doanh,NV09384,Nam Bao Dang,1991-08-15,Nam,12008364,33,13809619,Tăng lương 15%,Nhan vien
Marketing,NV09385,Bac Hoang Pham,2003-05-28,Nam,16547497,22,16547497,Không tăng lương,Nhan vien
Marketing,NV09386,Quy co Ha Le,1986-04-29,Nam,26694547,39,30698729,Tăng lương 15%,Nhan vien
Ky thuat,NV09387,Quy co Kim Vu,1996-09-12,Nam,24710057,28,24710057,Không tăng lương,Nhan vien
Marketing,NV09388,Khoa Duc Duong,1987-05-30,Nu,11087379,38,12750486,Tăng lương 15%,Nhan vien
Ke toan,NV09389,Yen Bui,1974-12-22,Nu,16241783,50,18678050,Tăng lương 15%,Nhan vien
Ke toan,NV09390,Ba Huong Nguyen,1980-06-22,Nu,9489311,45,10912708,Tăng lương 15%,Nhan vien
Marketing,NV09391,Chi Vu,1997-12-01,Nam,21421760,27,21421760,Không tăng lương,Nhan vien
Ke toan,NV09392,Quy co Mai Duong,1997-06-16,Nu,22713479,28,22713479,Không tăng lương,Nhan vien
Ke toan,NV09393,Hoang Tri Pham,1985-05-14,Nam,5600220,40,6440253,Tăng lương 15%,Nhan vien
Kinh doanh,NV09394,Quy ong Quang Duong,1966-12-15,Nam,9403916,58,10814503,Tăng lương 15%,Nhan vien
Ky thuat,NV09395,Khoa Bui,1984-05-06,Nam,17961837,41,20656113,Tăng lương 15%,Nhan vien
Marketing,NV09396,Trung Mai,1999-08-24,Nam,19568075,25,19568075,Không tăng lương,Nhan vien
Kinh doanh,NV09397,Quy co Hanh Dang,1993-04-28,Nam,23734312,32,27294459,Tăng lương 15%,Nhan vien
Kinh doanh,NV09398,Co Hanh Nguyen,1980-01-25,Nam,16709503,45,19215928,Tăng lương 15%,Nhan vien
Nhan su,NV09399,Thanh Mai Mai,1974-09-14,Nam,26734554,50,30744737,Tăng lương 15%,Nhan vien
Marketing,NV09400,Ngoc Tran,1972-07-26,Nam,28683087,52,32985550,Tăng lương 15%,Nhan vien
Nhan su,NV09401,Quang Bao Hoang,1994-06-19,Nam,11384067,31,13091677,Tăng lương 15%,Nhan vien
Marketing,NV09402,Quy co Ngoc Le,1969-02-24,Nu,24609247,56,28300634,Tăng lương 15%,Nhan vien
Ke toan,NV09403,Hai Tran,1978-08-25,Nu,11314042,46,13011148,Tăng lương 15%,Nhan vien
Marketing,NV09404,Co Thanh Duong,1978-03-16,Nam,20870578,47,24001165,Tăng lương 15%,Nhan vien
Ke toan,NV09405,Nhien Hoang Hoang,1966-06-06,Nam,14464570,59,16634255,Tăng lương 15%,Nhan vien
Kinh doanh,NV09406,Khoa Nguyen,1992-03-20,Nam,16003908,33,18404494,Tăng lương 15%,Nhan vien
Ke toan,NV09407,Ba Huong Pham,1987-08-28,Nam,27709702,37,31866157,Tăng lương 15%,Nhan vien
Ky thuat,NV09408,Anh Hoang,1987-06-19,Nu,19185315,38,22063112,Tăng lương 15%,Nhan vien
Nhan su,NV09409,Phuong Huu Le,1991-01-31,Nam,11693091,34,13447055,Tăng lương 15%,Nhan vien
Nhan su,NV09410,Huy The Hoang,1965-09-14,Nam,25687155,59,29540228,Tăng lương 15%,Nhan vien
Marketing,NV09411,Nhat Hoang,1967-02-19,Nu,11467704,58,13187860,Tăng lương 15%,Nhan vien
Kinh doanh,NV09412,Co Hai Le,1983-11-26,Nam,6331764,41,7281529,Tăng lương 15%,Nhan vien
Ky thuat,NV09413,Co Nhat Bui,1979-12-30,Nam,28448361,45,32715615,Tăng lương 15%,Nhan vien
Nhan su,NV09414,Mai Duong,1994-10-09,Nu,11716036,30,11716036,Không tăng lương,Nhan vien
Kinh doanh,NV09415,Minh Le,1989-06-12,Nu,21093677,36,24257729,Tăng lương 15%,Nhan vien
Marketing,NV09416,Bao Thi Pham,1991-11-22,Nam,15860368,33,18239423,Tăng lương 15%,Nhan vien
Ke toan,NV09417,Anh Huy Nguyen,1997-11-01,Nam,10865504,27,10865504,Không tăng lương,Nhan vien
Kinh doanh,NV09418,Dung Bui,1976-02-11,Nu,5877103,49,6758668,Tăng lương 15%,Nhan vien
Nhan su,NV09419,An Mai Bao Pham,1982-11-17,Nam,18380378,42,21137435,Tăng lương 15%,Nhan vien
Ke toan,NV09420,An Duc Vu,1986-12-18,Nam,10076121,38,11587539,Tăng lương 15%,Nhan vien
Marketing,NV09421,Chi Lan Duong,1976-12-29,Nam,21609736,48,24851196,Tăng lương 15%,Nhan vien
Kinh doanh,NV09422,An Mai Bui,1998-11-07,Nu,10077369,26,10077369,Không tăng lương,Nhan vien
Ke toan,NV09423,Hanh Huu Dang,1984-11-30,Nu,5094610,40,5858802,Tăng lương 15%,Nhan vien
Nhan su,NV09424,Anh Vu Duong,1993-01-10,Nu,10528996,32,12108345,Tăng lương 15%,Nhan vien
Nhan su,NV09425,Bac Nam Pham,1981-02-24,Nam,6096038,44,7010444,Tăng lương 15%,Nhan vien
Ke toan,NV09426,Anh Hoang Hoang,1988-01-17,Nam,23087542,37,26550673,Tăng lương 15%,Nhan vien
Ky thuat,NV09427,Hai Le,1992-09-28,Nam,5366292,32,6171236,Tăng lương 15%,Nhan vien
Ky thuat,NV09428,Khoa Duong,1991-12-07,Nam,27826036,33,31999941,Tăng lương 15%,Nhan vien
Ky thuat,NV09429,Anh Dang,2002-12-10,Nam,21698349,22,21698349,Không tăng lương,Nhan vien
Ky thuat,NV09430,Co Anh Tran,1972-02-26,Nam,26996053,53,31045461,Tăng lương 15%,Nhan vien
Ke toan,NV09431,Hai Hai Vu,2000-03-19,Nu,10198269,25,10198269,Không tăng lương,Nhan vien
Nhan su,NV09432,Quy co Hanh Nguyen,1964-09-13,Nam,11747804,60,13509975,Tăng lương 15%,Nhan vien
Marketing,NV09433,Duyen Nguyen,1999-12-03,Nu,7927346,25,7927346,Không tăng lương,Nhan vien
Nhan su,NV09434,Kim Bao Nguyen,1976-02-06,Nam,7896877,49,9081409,Tăng lương 15%,Nhan vien
Kinh doanh,NV09435,Bac Minh Tran,1994-10-22,Nam,5979438,30,5979438,Không tăng lương,Nhan vien
Nhan su,NV09436,Quy co Khoa Duong,1969-09-30,Nu,21610992,55,24852641,Tăng lương 15%,Nhan vien
Ke toan,NV09437,Ba Ngoc Nguyen,1978-09-11,Nu,15362869,46,17667299,Tăng lương 15%,Nhan vien
Ke toan,NV09438,Quy co Huong Pham,1980-10-14,Nam,22218370,44,25551125,Tăng lương 15%,Nhan vien
Marketing,NV09439,Co Nhat Hoang,1974-07-28,Nu,8493728,50,9767787,Tăng lương 15%,Nhan vien
Nhan su,NV09440,Huy Thi Duong,1969-10-11,Nu,19913007,55,22899958,Tăng lương 15%,Nhan vien
Marketing,NV09441,Nhat Bao Vu,1980-08-25,Nu,6643183,44,7639660,Tăng lương 15%,Nhan vien
Kinh doanh,NV09442,Chi Pham,1978-05-13,Nu,24813825,47,28535899,Tăng lương 15%,Nhan vien
Kinh doanh,NV09443,Thanh Tan Nguyen,1985-10-21,Nam,7282567,39,8374952,Tăng lương 15%,Nhan vien
Kinh doanh,NV09444,Nhat Tran,2000-12-19,Nu,10488126,24,10488126,Không tăng lương,Nhan vien
Nhan su,NV09445,Khoa Nguyen,1998-07-27,Nu,14977600,26,14977600,Không tăng lương,Nhan vien
Ke toan,NV09446,Quang Mai Bao Mai,1979-05-28,Nu,26478352,46,30450105,Tăng lương 15%,Nhan vien
Marketing,NV09447,Kim Thi Duong,1973-07-29,Nam,18300153,51,21045176,Tăng lương 15%,Nhan vien
Ky thuat,NV09448,Hai Duc Vu,1998-09-28,Nu,9245530,26,9245530,Không tăng lương,Nhan vien
Kinh doanh,NV09449,Xuan Pham,1979-02-01,Nam,27900427,46,32085491,Tăng lương 15%,Nhan vien
Marketing,NV09450,Ha Mai,1977-07-05,Nu,7719873,47,8877854,Tăng lương 15%,Nhan vien
Ky thuat,NV09451,Nhat Dang,1996-02-13,Nam,12405684,29,12405684,Không tăng lương,Nhan vien
Ke toan,NV09452,Quy co Nhat Le,1970-07-18,Nu,25796531,54,29666011,Tăng lương 15%,Nhan vien
Kinh doanh,NV09453,Quy ong Minh Tran,1972-07-28,Nam,24983856,52,28731434,Tăng lương 15%,Nhan vien
Nhan su,NV09454,Ba Nhat Bui,1983-08-19,Nam,24037624,41,27643268,Tăng lương 15%,Nhan vien
Kinh doanh,NV09455,Anh Vu,2000-05-31,Nam,21082328,25,21082328,Không tăng lương,Nhan vien
Nhan su,NV09456,Quy co Linh Vu,1982-04-15,Nu,18013615,43,20715657,Tăng lương 15%,Nhan vien
Ky thuat,NV09457,Nam Nguyen,1999-07-13,Nu,11647882,25,11647882,Không tăng lương,Nhan vien
Ke toan,NV09458,Tu Duong,2001-05-20,Nu,9750083,24,9750083,Không tăng lương,Nhan vien
Kinh doanh,NV09459,Quang Mai,1996-07-12,Nam,15554924,28,15554924,Không tăng lương,Nhan vien
Kinh doanh,NV09460,Ba Hanh Tran,2001-12-01,Nam,9163814,23,9163814,Không tăng lương,Nhan vien
Ky thuat,NV09461,Tung Pham,1971-03-17,Nu,27722755,54,31881168,Tăng lương 15%,Nhan vien
Ke toan,NV09462,Bac Tu Bui,1966-12-26,Nam,8207421,58,9438534,Tăng lương 15%,Nhan vien
Ke toan,NV09463,Nam Hoang,1985-06-16,Nam,29025873,40,33379754,Tăng lương 15%,Nhan vien
Ke toan,NV09464,Quy ong Quang Tran,1971-01-14,Nu,17701863,54,20357142,Tăng lương 15%,Nhan vien
Marketing,NV09465,Phuong Tran,1991-05-13,Nam,29286600,34,33679590,Tăng lương 15%,Nhan vien
Kinh doanh,NV09466,Duong Dang,1969-10-28,Nu,10288953,55,11832296,Tăng lương 15%,Nhan vien
Ky thuat,NV09467,Hai Phu Le,1989-09-23,Nam,20493604,35,23567645,Tăng lương 15%,Nhan vien
Ke toan,NV09468,Nhat Vu,1997-11-04,Nam,11673442,27,11673442,Không tăng lương,Nhan vien
Marketing,NV09469,Kim Tan Vu,1981-08-24,Nu,22623679,43,26017231,Tăng lương 15%,Nhan vien
Nhan su,NV09470,Ba Nhat Nguyen,1985-12-15,Nam,6983653,39,8031201,Tăng lương 15%,Nhan vien
Nhan su,NV09471,Bao Bao Hoang,1978-04-20,Nu,23341926,47,26843215,Tăng lương 15%,Nhan vien
Nhan su,NV09472,Quy ong Khoa Tran,1992-01-05,Nu,7098360,33,8163114,Tăng lương 15%,Nhan vien
Ke toan,NV09473,An Van Nguyen,1985-12-28,Nu,22350570,39,25703155,Tăng lương 15%,Nhan vien
Nhan su,NV09474,Hanh Quang Bui,1986-05-20,Nam,18961161,39,21805335,Tăng lương 15%,Nhan vien
Nhan su,NV09475,Phuc Duc Vu,1994-07-05,Nam,17569156,30,17569156,Không tăng lương,Nhan vien
Ky thuat,NV09476,Phuong Hoang,1969-06-05,Nu,8066614,56,9276606,Tăng lương 15%,Nhan vien
Nhan su,NV09477,Trung Bao Dang,1985-08-27,Nu,12110460,39,13927029,Tăng lương 15%,Nhan vien
Kinh doanh,NV09478,Van Duong,1973-12-20,Nam,9459563,51,10878497,Tăng lương 15%,Nhan vien
Nhan su,NV09479,Nhat Vu,1995-09-22,Nu,18988126,29,18988126,Không tăng lương,Nhan vien
Ke toan,NV09480,Chi Nhat Le,1985-08-14,Nam,18770234,39,21585769,Tăng lương 15%,Nhan vien
Nhan su,NV09481,Quang Hoang,1999-06-23,Nam,8573524,26,8573524,Không tăng lương,Nhan vien
Kinh doanh,NV09482,Anh Van Mai,1970-11-12,Nu,29952602,54,34445492,Tăng lương 15%,Quan ly
Ky thuat,NV09483,Co Khoa Vu,1993-04-11,Nu,15385781,32,17693648,Tăng lương 15%,Nhan vien
Marketing,NV09484,Co Nhat Tran,1979-07-10,Nu,8674891,45,9976125,Tăng lương 15%,Nhan vien
Nhan su,NV09485,Ong Tu Nguyen,1982-08-24,Nam,11907624,42,13693768,Tăng lương 15%,Nhan vien
Nhan su,NV09486,Anh Hung Duong,1970-12-14,Nam,23074861,54,26536090,Tăng lương 15%,Nhan vien
Ke toan,NV09487,Tung Xuan Duong,1985-12-15,Nu,10865040,39,12494796,Tăng lương 15%,Nhan vien
Ke toan,NV09488,Hung Huu Bui,1974-04-16,Nam,28056251,51,32264689,Tăng lương 15%,Nhan vien
Ky thuat,NV09489,Co Vi Tran,2003-03-13,Nu,24960408,22,24960408,Không tăng lương,Nhan vien
Marketing,NV09490,Thanh Phu Dang,1982-01-23,Nam,16454432,43,18922597,Tăng lương 15%,Nhan vien
Ky thuat,NV09491,Quang Duc Pham,1968-12-05,Nu,6455317,56,7423615,Tăng lương 15%,Nhan vien
Ky thuat,NV09492,Kim Mai Duong,1973-06-30,Nam,23580819,51,27117942,Tăng lương 15%,Nhan vien
Nhan su,NV09493,Quy ong Quang Nguyen,1965-01-06,Nam,18104475,60,20820146,Tăng lương 15%,Nhan vien
Ke toan,NV09494,Quy co Linh Tran,1978-07-10,Nu,14515051,46,16692309,Tăng lương 15%,Nhan vien
Ky thuat,NV09495,Minh Vu,2003-02-12,Nu,29064450,22,29064450,Không tăng lương,Nhan vien
Kinh doanh,NV09496,Bao Le,1995-08-05,Nu,7248847,29,7248847,Không tăng lương,Nhan vien
Nhan su,NV09497,Thanh Mai Bao Nguyen,1977-01-13,Nu,23634162,48,27179286,Tăng lương 15%,Nhan vien
Ke toan,NV09498,Thanh Van Duong,2000-12-09,Nu,18712232,24,18712232,Không tăng lương,Nhan vien
Ky thuat,NV09499,Mai Vu,1989-07-20,Nam,8275380,35,9516687,Tăng lương 15%,Nhan vien
Marketing,NV09500,Hai Mai,1996-12-23,Nu,9258792,28,9258792,Không tăng lương,Nhan vien
Kinh doanh,NV09501,Hai Duong,2003-02-10,Nu,5033123,22,5033123,Không tăng lương,Nhan vien
Ke toan,NV09502,Quang Tan Nguyen,1977-09-16,Nu,19686942,47,22639983,Tăng lương 15%,Nhan vien
Ky thuat,NV09503,Hoang Duc Vu,1972-05-05,Nu,8931254,53,10270942,Tăng lương 15%,Nhan vien
Marketing,NV09504,Quy ong Nam Duong,1999-05-04,Nam,29234695,26,29234695,Không tăng lương,Nhan vien
Kinh doanh,NV09505,Quy ong Quang Le,1985-05-24,Nam,8032225,40,9237059,Tăng lương 15%,Nhan vien
Ke toan,NV09506,Co Hanh Vu,1968-09-21,Nu,17489865,56,20113345,Tăng lương 15%,Nhan vien
Marketing,NV09507,Ba Xuan Bui,1978-07-21,Nam,24070348,46,27680900,Tăng lương 15%,Nhan vien
Nhan su,NV09508,Co Hong Duong,1965-08-08,Nam,10885454,59,12518272,Tăng lương 15%,Nhan vien
Ke toan,NV09509,Chi Anh Hoang,1974-10-21,Nu,23602933,50,27143373,Tăng lương 15%,Nhan vien
Nhan su,NV09510,Co Lan Le,1973-06-16,Nu,7015230,52,8067514,Tăng lương 15%,Nhan vien
Ke toan,NV09511,Co Lan Tran,1985-11-25,Nu,12295310,39,14139606,Tăng lương 15%,Nhan vien
Ke toan,NV09512,Lan Tran,1973-09-11,Nu,15222081,51,17505393,Tăng lương 15%,Nhan vien
Kinh doanh,NV09513,Trung Quang Hoang,1969-05-02,Nu,10752781,56,12365698,Tăng lương 15%,Nhan vien
Kinh doanh,NV09514,Chi Huong Vu,1986-08-28,Nu,18556900,38,21340435,Tăng lương 15%,Nhan vien
Nhan su,NV09515,Ba Thanh Hoang,1970-10-30,Nu,25237537,54,29023168,Tăng lương 15%,Nhan vien
Marketing,NV09516,Minh Bui,1993-11-19,Nam,18472829,31,21243753,Tăng lương 15%,Nhan vien
Ky thuat,NV09517,Minh Bui,1991-07-26,Nam,21043582,33,24200119,Tăng lương 15%,Nhan vien
Kinh doanh,NV09518,Tung Mai Bao Dang,2001-02-27,Nu,23291736,24,23291736,Không tăng lương,Nhan vien
Kinh doanh,NV09519,Ba Duyen Hoang,1986-04-26,Nu,25283254,39,29075742,Tăng lương 15%,Nhan vien
Marketing,NV09520,Ong Trong Mai,2000-12-08,Nu,21134776,24,21134776,Không tăng lương,Nhan vien
Nhan su,NV09521,Lan Bui,1974-01-19,Nam,13838137,51,15913858,Tăng lương 15%,Nhan vien
Kinh doanh,NV09522,Anh Huu Tran,1987-03-06,Nu,18225865,38,20959745,Tăng lương 15%,Nhan vien
Ky thuat,NV09523,Tung Tran,1966-12-31,Nam,11821571,58,13594807,Tăng lương 15%,Nhan vien
Marketing,NV09524,Ong Thanh Nguyen,1973-06-24,Nam,21779367,52,25046272,Tăng lương 15%,Nhan vien
Kinh doanh,NV09525,Quy ong Khoa Duong,1993-01-06,Nam,21819396,32,25092305,Tăng lương 15%,Nhan vien
Marketing,NV09526,Nhat Phu Bui,1984-07-09,Nam,17153107,40,19726073,Tăng lương 15%,Nhan vien
Ke toan,NV09527,Lam Mai Bao Tran,1978-01-27,Nu,29845854,47,34322732,Tăng lương 15%,Quan ly
Ke toan,NV09528,Chi Lam Vu,1970-12-26,Nu,14654523,54,16852701,Tăng lương 15%,Nhan vien
Ky thuat,NV09529,Nhat Van Le,1992-01-12,Nu,22412239,33,25774075,Tăng lương 15%,Nhan vien
Marketing,NV09530,Quy ong Trong Le,1999-05-07,Nam,7980985,26,7980985,Không tăng lương,Nhan vien
Kinh doanh,NV09531,Ha Le,1985-08-06,Nu,9040120,39,10396138,Tăng lương 15%,Nhan vien
Ky thuat,NV09532,Nhat Tri Bui,1995-12-06,Nam,10790820,29,10790820,Không tăng lương,Nhan vien
Ky thuat,NV09533,Chi Khoa Hoang,1984-06-24,Nam,8005803,41,9206673,Tăng lương 15%,Nhan vien
Ke toan,NV09534,Lam Vu,1971-06-23,Nam,10306996,54,11853045,Tăng lương 15%,Nhan vien
Kinh doanh,NV09535,Ba Duong Duong,1995-06-27,Nam,9862965,29,9862965,Không tăng lương,Nhan vien
Ke toan,NV09536,Duong Hoang,1970-06-24,Nam,10875137,55,12506408,Tăng lương 15%,Nhan vien
Kinh doanh,NV09537,Chi Duyen Hoang,1991-10-08,Nu,13808169,33,15879394,Tăng lương 15%,Nhan vien
Ky thuat,NV09538,Ba Mai Duong,1976-03-30,Nam,29413678,49,33825730,Tăng lương 15%,Nhan vien
Ke toan,NV09539,Thanh Tri Nguyen,1965-07-07,Nam,5196220,59,5975653,Tăng lương 15%,Nhan vien
Ky thuat,NV09540,Hai Quang Tran,2002-12-09,Nam,20868487,22,20868487,Không tăng lương,Nhan vien
Ky thuat,NV09541,Bao Duong,1990-11-21,Nam,29497848,34,33922525,Tăng lương 15%,Nhan vien
Ke toan,NV09542,Phuong Hoang Duong,1975-09-30,Nu,19246991,49,22134040,Tăng lương 15%,Nhan vien
Kinh doanh,NV09543,Ba Kim Duong,1982-01-22,Nu,18181652,43,20908900,Tăng lương 15%,Nhan vien
Nhan su,NV09544,Chi Le,2003-02-15,Nam,11018836,22,11018836,Không tăng lương,Nhan vien
Ky thuat,NV09545,Linh Mai,1996-01-07,Nu,21079964,29,21079964,Không tăng lương,Nhan vien
Ke toan,NV09546,Trung Thi Dang,1979-06-03,Nam,23230943,46,26715584,Tăng lương 15%,Nhan vien
Ke toan,NV09547,Phuong Phu Hoang,1986-09-23,Nam,6780572,38,7797658,Tăng lương 15%,Nhan vien
Nhan su,NV09548,Minh Vu,1995-02-18,Nu,29097685,30,29097685,Không tăng lương,Nhan vien
Kinh doanh,NV09549,Thanh Mai,1998-04-19,Nu,10742666,27,10742666,Không tăng lương,Nhan vien
Nhan su,NV09550,Bac Thanh Pham,1975-08-14,Nu,24549920,49,28232408,Tăng lương 15%,Nhan vien
Nhan su,NV09551,Huong Pham,1964-08-30,Nam,27823471,60,31996992,Tăng lương 15%,Nhan vien
Kinh doanh,NV09552,Quy ong Nam Duong,1987-09-15,Nu,9131743,37,10501504,Tăng lương 15%,Nhan vien
Marketing,NV09553,Trung Pham,1989-11-18,Nam,25209695,35,28991149,Tăng lương 15%,Nhan vien
Ky thuat,NV09554,An Nguyen,1989-02-11,Nam,18766971,36,21582017,Tăng lương 15%,Nhan vien
Nhan su,NV09555,Chi Tran,1966-09-17,Nu,15727692,58,18086846,Tăng lương 15%,Nhan vien
Kinh doanh,NV09556,Vu Hoang,2001-05-14,Nam,17064861,24,17064861,Không tăng lương,Nhan vien
Kinh doanh,NV09557,Anh Phuc Duong,2001-10-16,Nam,14641180,23,14641180,Không tăng lương,Nhan vien
Marketing,NV09558,Trong Hai Dang,1971-10-11,Nam,26492282,53,30466124,Tăng lương 15%,Nhan vien
Kinh doanh,NV09559,Quy ong Anh Duong,1977-04-22,Nam,26814285,48,30836428,Tăng lương 15%,Nhan vien
Ky thuat,NV09560,Hai Bui,1974-02-04,Nam,16879179,51,19411056,Tăng lương 15%,Nhan vien
Kinh doanh,NV09561,Hanh Tri Duong,1966-08-10,Nam,28417192,58,32679771,Tăng lương 15%,Nhan vien
Nhan su,NV09562,Hoang Hoang,1970-08-16,Nu,20286430,54,23329394,Tăng lương 15%,Nhan vien
Marketing,NV09563,Nhat Nguyen,1987-02-28,Nam,23928987,38,27518335,Tăng lương 15%,Nhan vien
Ke toan,NV09564,Linh Vu,1977-08-15,Nam,7668972,47,8819318,Tăng lương 15%,Nhan vien
Marketing,NV09565,Hai Bui,1970-08-28,Nu,8760957,54,10075101,Tăng lương 15%,Nhan vien
Ke toan,NV09566,Huy Huu Pham,1970-11-02,Nam,9459123,54,10877991,Tăng lương 15%,Nhan vien
Kinh doanh,NV09567,Ong Quang Dang,2000-12-24,Nu,10071575,24,10071575,Không tăng lương,Nhan vien
Ke toan,NV09568,Ba Thanh Tran,1995-07-06,Nam,19509579,29,19509579,Không tăng lương,Nhan vien
Marketing,NV09569,Minh Vu,1966-03-31,Nu,23768699,59,27334004,Tăng lương 15%,Nhan vien
Ke toan,NV09570,Kim Dang,1991-10-18,Nu,11467084,33,13187147,Tăng lương 15%,Nhan vien
Ky thuat,NV09571,Tung Dang,1979-05-27,Nam,29209263,46,33590652,Tăng lương 15%,Nhan vien
Nhan su,NV09572,Co Bao Duong,1968-01-22,Nam,7609858,57,8751337,Tăng lương 15%,Nhan vien
Kinh doanh,NV09573,Quy co Van Nguyen,1984-01-25,Nu,18416176,41,21178602,Tăng lương 15%,Nhan vien
Nhan su,NV09574,Hung Bao Hoang,1971-12-19,Nam,8086359,53,9299313,Tăng lương 15%,Nhan vien
Nhan su,NV09575,Tung Phu Nguyen,1985-09-22,Nu,22037275,39,25342866,Tăng lương 15%,Nhan vien
Nhan su,NV09576,Mai Pham,1982-01-11,Nam,21508158,43,24734382,Tăng lương 15%,Nhan vien
Nhan su,NV09577,Chi Dang,1968-11-17,Nu,21206710,56,24387716,Tăng lương 15%,Nhan vien
Ky thuat,NV09578,Quy co An Pham,1969-07-21,Nam,12016675,55,13819176,Tăng lương 15%,Nhan vien
Ke toan,NV09579,Ba Phuong Hoang,1971-03-08,Nam,12678439,54,14580205,Tăng lương 15%,Nhan vien
Kinh doanh,NV09580,Vu Le,2000-09-03,Nam,7033569,24,7033569,Không tăng lương,Nhan vien
Ke toan,NV09581,Quy co Ha Tran,1973-03-23,Nu,28764730,52,33079439,Tăng lương 15%,Nhan vien
Ke toan,NV09582,Bac Trung Hoang,1983-05-10,Nu,9562289,42,10996632,Tăng lương 15%,Nhan vien
Nhan su,NV09583,Quy ong Tu Dang,1976-10-21,Nam,10103987,48,11619585,Tăng lương 15%,Nhan vien
Kinh doanh,NV09584,An Tran,1991-03-16,Nam,24793351,34,28512354,Tăng lương 15%,Nhan vien
Kinh doanh,NV09585,Phuong Vu,1981-04-28,Nu,21245198,44,24431978,Tăng lương 15%,Nhan vien
Kinh doanh,NV09586,Tung Thi Tran,1986-05-10,Nu,18339291,39,21090185,Tăng lương 15%,Nhan vien
Marketing,NV09587,Khoa Tan Mai,1979-04-02,Nu,26700883,46,30706015,Tăng lương 15%,Nhan vien
Kinh doanh,NV09588,Hai Duc Tran,1984-02-13,Nu,7723729,41,8882288,Tăng lương 15%,Nhan vien
Ke toan,NV09589,Nam Quang Vu,1976-06-22,Nam,5291497,49,6085222,Tăng lương 15%,Nhan vien
Ky thuat,NV09590,Bac Nhien Mai,1989-02-23,Nam,7147159,36,8219233,Tăng lương 15%,Nhan vien
Ky thuat,NV09591,Co Huong Nguyen,1997-01-31,Nam,16070459,28,16070459,Không tăng lương,Nhan vien
Marketing,NV09592,Huong Pham,1998-06-27,Nam,28818930,26,28818930,Không tăng lương,Nhan vien
Marketing,NV09593,Ong Khoa Mai,1977-05-17,Nu,13217831,48,15200506,Tăng lương 15%,Nhan vien
Marketing,NV09594,Xuan Dang,1982-09-22,Nam,21347107,42,24549173,Tăng lương 15%,Nhan vien
Marketing,NV09595,Co Nhat Tran,1967-01-29,Nam,22384131,58,25741751,Tăng lương 15%,Nhan vien
Ky thuat,NV09596,Lan Duong,1978-04-06,Nam,23912879,47,27499811,Tăng lương 15%,Nhan vien
Ky thuat,NV09597,Linh Pham,1985-08-21,Nu,7110700,39,8177305,Tăng lương 15%,Nhan vien
Nhan su,NV09598,Hung Duc Dang,1973-10-30,Nam,25873273,51,29754264,Tăng lương 15%,Nhan vien
Ky thuat,NV09599,Huy Mai,1988-11-25,Nam,28856365,36,33184820,Tăng lương 15%,Nhan vien
Ky thuat,NV09600,Phuc Bui,1970-06-23,Nam,29621388,55,34064596,Tăng lương 15%,Nhan vien
Ky thuat,NV09601,Bac Anh Dang,1967-01-23,Nam,24865820,58,28595693,Tăng lương 15%,Nhan vien
Marketing,NV09602,Xuan Le,1993-07-28,Nam,24761277,31,28475469,Tăng lương 15%,Nhan vien
Nhan su,NV09603,Quy ong Trong Tran,1998-02-05,Nu,29526987,27,29526987,Không tăng lương,Nhan vien
Kinh doanh,NV09604,Ong Dung Nguyen,1997-09-01,Nu,6030115,27,6030115,Không tăng lương,Nhan vien
Nhan su,NV09605,Van Dang,1969-04-23,Nu,20062913,56,23072350,Tăng lương 15%,Nhan vien
Nhan su,NV09606,Mai Vu,1966-07-10,Nam,26499358,58,30474262,Tăng lương 15%,Nhan vien
Nhan su,NV09607,Nhat Vu,1967-10-30,Nam,5509012,57,6335364,Tăng lương 15%,Nhan vien
Kinh doanh,NV09608,Quy co Thanh Mai,1966-11-18,Nam,24831719,58,28556477,Tăng lương 15%,Nhan vien
Nhan su,NV09609,Nhien Huu Le,1971-02-22,Nu,23853068,54,27431028,Tăng lương 15%,Nhan vien
Kinh doanh,NV09610,Kim Pham,1997-08-28,Nam,8138798,27,8138798,Không tăng lương,Nhan vien
Ky thuat,NV09611,Hong Bui,1993-12-15,Nu,15914246,31,18301383,Tăng lương 15%,Nhan vien
Ke toan,NV09612,Nam Phu Le,1964-06-29,Nu,25201819,60,28982092,Tăng lương 15%,Nhan vien
Kinh doanh,NV09613,Ba Yen Nguyen,2002-07-14,Nu,22632873,22,22632873,Không tăng lương,Nhan vien
Kinh doanh,NV09614,Thao Bui,1987-01-24,Nam,16748506,38,19260782,Tăng lương 15%,Nhan vien
Ke toan,NV09615,Chau Mai,1972-08-18,Nam,16637044,52,19132601,Tăng lương 15%,Nhan vien
Kinh doanh,NV09616,Yen Vu,1978-08-19,Nam,26689298,46,30692693,Tăng lương 15%,Nhan vien
